Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2015-03-17,287.6078186035156,289.05254710562906,285.50988539116634,286.6702835192842,531500
2015-03-18,290.29736328125,292.7795074714458,285.4483173096889,287.38485412474387,595700
2015-03-19,284.295654296875,289.2907122559367,283.65781068598557,288.94489117033567,632600
2015-03-20,290.9737243652344,291.70375737697407,284.6568949839142,284.8105750355037,681600
2015-03-23,287.66156005859375,292.6489496915081,287.4233360730242,290.4203898690316,453000
2015-03-24,283.6424865722656,287.35418903450795,283.6424865722656,286.885433252799,452800
2015-03-25,279.6618347167969,285.9094810766843,279.5388766049705,284.2496051966825,391300
2015-03-26,278.3014831542969,280.3533089433448,276.65696909221725,277.2179373389401,417600
2015-03-27,277.90203857421875,279.5235003518469,276.8415453491053,278.06341084051695,386900
2015-03-30,282.8739929199219,284.0420596256064,279.0316404582328,279.0316404582328,470900
2015-03-31,281.1372375488281,282.90473372369047,280.26119339671936,281.4215678740903,426400
2015-04-01,278.6242980957031,281.9748175367675,278.0633063022315,280.1151324383723,593800
2015-04-02,281.5675964355469,282.14394933086464,278.7012163786897,279.20071753092657,351800
2015-04-06,282.01324462890625,283.65775890797005,277.84043299523245,278.84712723168974,345000
2015-04-07,283.27362060546875,285.0257325845874,281.5138164159775,281.83658437743713,448700
2015-04-08,284.1111145019531,285.4482686133372,282.3743877762652,284.37239155888227,569400
2015-04-09,285.5098571777344,285.70197481165076,282.55124092505025,284.3340981962405,392300
2015-04-10,283.911376953125,286.6317450757921,282.8124465417381,286.2705630773335,348300
2015-04-13,284.0957946777344,286.63942956258387,284.0650492983938,284.29560446566853,421000
2015-04-14,287.14678955078125,287.55407811913057,282.0979309842099,284.21891780527915,581700
2015-04-15,289.45208740234375,289.92853533709757,286.9853037826804,287.6999756848111,710800
2015-04-16,286.00933837890625,291.0889404601871,280.0075857902867,290.88143842084594,901800
2015-04-17,280.7990417480469,285.8709503970751,279.07767578788304,284.09578588769307,798800
2015-04-20,284.1111145019531,285.04864909533404,282.3590033628961,282.7970370106227,416500
2015-04-21,282.4282531738281,285.78648876167745,282.10550871577396,285.6250930807932,448500
2015-04-22,283.9574890136719,285.27156675713223,280.79906365261667,283.63472114503656,451600
2015-04-23,285.817138671875,286.3012786888156,281.9747873651732,283.1812913039219,432600
2015-04-24,286.6241760253906,287.3157948827271,284.16506069723664,286.4320583732493,355700
2015-04-27,285.7864685058594,289.5058624301481,285.240837636155,287.8613245161471,354400
2015-04-28,290.3665771484375,290.4741508212605,284.46472945816447,284.46472945816447,395400
2015-04-29,281.7750549316406,291.09658128480925,281.1218503942111,288.6528510148479,981700
2015-04-30,279.6771545410156,283.4887616394338,278.44759705550246,281.4676804801227,673300
2015-05-01,283.2889709472656,283.73467350990535,280.5070880910231,281.6674860283772,412900
2015-05-04,284.5415344238281,285.62508053197627,283.36577561743013,284.17268363082866,375400
2015-05-05,281.2986145019531,285.6942666587381,280.5839425721123,283.16601562282466,380700
2015-05-06,279.2621765136719,282.712625024519,277.45626613857394,281.5599192683108,427700
2015-05-07,281.01422119140625,282.466641354141,278.82407608745933,279.33896152104523,431300
2015-05-08,284.3648681640625,285.3024032366873,281.0220163545968,282.29768036829034,445800
2015-05-11,282.6280212402344,285.97856412391826,282.55886172372635,283.98820530193274,431700
2015-05-12,280.6223449707031,281.3984841238013,278.47830599823914,281.1602601770671,452300
2015-05-13,280.59161376953125,281.6751598974349,279.3466954167481,280.092112677,435000
2015-05-14,285.46368408203125,285.49442946279044,281.9517689266584,282.4282167950828,419000
2015-05-15,284.9873352050781,286.37826515643786,283.23522312286536,285.87107173107864,415800
2015-05-18,284.8797302246094,285.84801068746583,283.36584220100036,284.4570807743672,391900
2015-05-19,285.1639709472656,286.6010302204126,283.5040956068475,285.63275006195687,406000
2015-05-20,284.5260925292969,285.6096383292482,282.55111848005544,284.81811495859785,447900
2015-05-21,282.9661560058594,285.69421639452355,282.82014476177096,284.7182674830656,390500
2015-05-22,282.8586730957031,283.9191663696054,282.4360236091426,283.09692057844467,303700
2015-05-26,280.5148620605469,283.1122968101204,280.35348977812595,282.0364425075392,695400
2015-05-27,283.3196716308594,284.0881420584912,280.3226416534665,281.28322968800626,352500
2015-05-28,283.9574890136719,284.14960660285016,281.32161786673663,282.0132599492618,358100
2015-05-29,281.0910339355469,283.9266909013216,280.49162810670794,283.9266909013216,627000
2015-06-01,279.9308166503906,282.23622877677815,278.6858978544397,281.3217467571619,418400
2015-06-02,279.2621765136719,280.2458178208952,277.064362128727,278.80108952081684,430800
2015-06-03,280.4532775878906,282.03632471162365,278.5858767209313,280.02293604659553,464400
2015-06-04,274.9817810058594,280.1228503832295,273.88287385003815,278.7396129026574,640000
2015-06-05,274.7266845703125,278.6467179886921,270.94581807201916,276.7988040325253,740500
2015-06-08,273.28070068359375,276.6285623996833,273.05647169611797,275.60024255298424,683000
2015-06-09,272.72412109375,275.33745284712234,272.1674298738745,273.613274454432,539000
2015-06-10,274.9507751464844,276.72910489926335,273.9224552059818,274.47140689171164,768500
2015-06-11,275.87872314453125,277.4405403404361,274.4870067201101,275.8168790438157,585800
2015-06-12,273.2652893066406,275.7936056684756,272.7936603362028,275.25236966067575,517200
2015-06-15,274.6956787109375,275.87090505404257,269.4303192541564,271.8735734583747,1096900
2015-06-16,276.2419738769531,276.7677310411422,273.5822306285139,273.5822306285139,351900
2015-06-17,276.2575378417969,278.4301743752422,275.5384852372636,277.54102102167434,462700
2015-06-18,279.0255432128906,279.7445958288097,275.7085903519986,276.7987783159452,445300
2015-06-19,277.7187805175781,279.25740257658896,276.58220393248894,278.2522770939834,658900
2015-06-22,277.5409240722656,281.0743653637011,277.28578483564263,279.00224685063745,430600
2015-06-23,278.4611511230469,279.49721090112075,277.6570362222981,277.9585881584338,420700
2015-06-24,274.9199523925781,279.1105798722183,274.4869729539941,278.36059341688355,558700
2015-06-25,271.487060546875,275.6235838025166,271.29376528815914,274.9199862293174,482300
2015-06-26,274.0693664550781,274.4018284965086,272.08228637296145,272.97917882553867,642900
2015-06-29,266.3917236328125,272.1596458848525,266.23707803213557,270.9070967444294,558700
2015-06-30,267.5050354003906,269.9482889545138,265.85815692913036,269.02820214282946,776700
2015-07-01,268.6030578613281,272.2292784119082,267.22679671133216,270.6133330545698,495400
2015-07-02,267.0567321777344,269.4535981718433,265.71140469011254,269.24484778102334,433900
2015-07-06,265.0541687011719,267.3195832996682,262.88927140493155,264.7062278234568,698100
2015-07-07,264.8994445800781,266.29118408296665,259.5490470208154,265.2628404752341,853300
2015-07-08,258.3351135253906,263.6777946178101,257.96400191669744,262.8814194966883,955600
2015-07-09,260.476806640625,264.71382095059965,260.0283487083911,263.69321696234095,797300
2015-07-10,262.46392822265625,263.8169945219301,260.77839986707716,262.83506347344587,1156400
2015-07-13,266.17523193359375,267.0721245003952,264.1726964767031,264.86855448326804,800700
2015-07-14,264.99224853515625,266.24479758239045,263.36856423127324,265.09274221295317,1213800
2015-07-15,267.8994140625,268.92775776391903,263.57733612160644,265.51802752526646,1106400
2015-07-16,273.9225769042969,274.4715288339151,269.87111582012903,270.3427449269078,805900
2015-07-17,274.1236267089844,275.01278023185836,271.85047244614344,273.01024406613925,729200
2015-07-20,273.01019287109375,275.2601522234455,272.0591718266122,275.2292183792744,441800
2015-07-21,272.0204772949219,274.03075211307987,271.03080680537414,272.49984562016454,481700
2015-07-22,270.61328125,272.430260857514,270.14936804873605,272.15964285714284,719500
2015-07-23,267.86077880859375,271.5333878906123,267.19583099981776,270.6751448669932,526600
2015-07-24,263.9716796875,268.8427096569867,263.07478706031816,267.3814101043836,630500
2015-07-27,259.97430419921875,263.9484648303498,258.3970323587375,262.4948811535253,882100
2015-07-28,260.43829345703125,262.015589353758,259.31719512889117,262.015589353758,713200
2015-07-29,262.7578125,263.65470523785416,259.7888004689707,260.7320821764027,663400
2015-07-30,261.91510009765625,263.68569144014396,261.17285284142105,262.6573473538915,622300
2015-07-31,260.0361633300781,264.2113347866307,259.61089974741526,262.5644559642627,507800
2015-08-03,258.7836608886719,262.2165860283072,257.0903928024082,260.30682823033715,528500
2015-08-04,257.03619384765625,260.6469345038495,255.3506655842598,259.4407744992536,676200
2015-08-05,258.77581787109375,261.4433003893266,258.2423213674472,258.2423213674472,662800
2015-08-06,257.5234069824219,259.9357279800448,256.48734725116645,259.37903670400783,583600
2015-08-07,256.5800476074219,258.68310028141383,254.5001894131002,256.9357041609014,368900
2015-08-10,259.4718017578125,261.613504573957,257.23732099954054,258.31976965037876,513400
2015-08-11,255.1497039794922,258.23468830428567,254.3765230583422,257.5078963507559,695100
2015-08-12,252.93063354492188,253.84298120673492,247.35600670126178,251.8249906871855,786700
2015-08-13,251.9873809814453,254.68577467580621,251.30697803836566,253.54919784943624,474900
2015-08-14,253.7115936279297,254.15228881135218,251.28379425904245,252.0415200407658,450000
2015-08-17,254.6316375732422,254.78628318064978,251.40748665969477,252.25025095017043,387600
2015-08-18,254.15992736816406,254.40735082271104,252.88418409933016,253.60323639323298,442500
2015-08-19,249.9385223388672,254.37657416736084,249.74522706974304,253.37916397190844,720300
2015-08-20,245.14474487304688,249.2890069460734,244.8586717029667,248.81735430694994,744500
2015-08-21,237.57530212402344,244.93599987268217,237.32790215257052,242.16799885683628,1195700
2015-08-24,231.31259155273438,236.70938033084508,212.62479467170067,225.30495952572662,1578300
2015-08-25,227.8254852294922,240.9772997969548,227.8177458699517,239.67062219745978,1259700
2015-08-26,234.3434600830078,235.1630301729539,228.54460175096582,233.88728605902764,1351700
2015-08-27,243.1421661376953,243.54421165765336,237.0031087228445,237.0031087228445,945500
2015-08-28,240.6370849609375,241.68086023421182,237.8304346940635,241.68086023421182,782900
2015-08-31,235.51370239257812,240.4113226343111,235.17889508386577,239.24337026824784,786800
2015-09-01,229.15220642089844,231.07543527942155,226.9408864954871,228.70840265512214,1541500
2015-09-02,232.44586181640625,232.44586181640622,229.10551164221374,231.48813239246294,1341800
2015-09-03,233.7928924560547,234.7350339098921,232.1655485768634,233.24783859169185,1149300
2015-09-04,229.10552978515625,231.57381292100274,227.67284439300616,230.20340786674967,985500
2015-09-08,234.70382690429688,235.52917769737059,231.1221029136139,233.30229409848485,934600
2015-09-09,231.07545471191406,238.77616474526553,230.5381947671663,237.44470581187093,698200
2015-09-10,234.6104736328125,236.5804189273952,231.08325857928534,231.87745760200872,952900
2015-09-11,236.16773986816406,236.38575668068148,232.65608901028148,234.36909522438285,804800
